Year,BEV Market,Tesla Units,Tesla Revenue,Market Share
2024,9900000,1789226,75147492000,0.180729898989899
2025,12672000,2325994,100622491788,0.18355381944444443
2026,16220160,3023792,134733516504,0.1864218355429293
2027,20761805,3930930,180408178599,0.18933469416556026
2028,26575110,5110209,241566551144,0.1922930516562302
2029,34016141,6643272,323457611982,0.19529763825943688
2030,43540660,8636254,433109742444,0.19834917523069243
