Year,BEV Market,Tesla Units,Tesla Revenue,Market Share
2024,9900000,1789226,75147492000,0.180729898989899
2025,11880000,2147071,91078760304,0.18072988215488214
2026,14256000,2576485,110387457488,0.18072986812570146
2027,17107200,3091782,133789598475,0.18072986812570146
2028,20528640,3710138,162152993352,0.18072984864072827
2029,24634368,4452166,196529427943,0.18072986487820591
2030,29561242,5342599,238193666667,0.18072985566709274
